number of population per hectare,Entire home/apt,Private room,Hotel room,Shared room,Entropy
-0.324349277,-0.18368203,0.171692826,0.449753806,-0.215599932,0.587675816
0.255991845,0.277214727,-0.319816032,0.847727736,-0.215599932,0.886187803
1.493624034,0.456452355,-0.592688191,1.962054737,-0.215599932,1.213128844
-0.117558146,0.08418959,-0.00952662,-0.545181016,-0.215599932,0.223646094
1.3433013,-1.634653302,1.499331695,1.77633357,-0.215599932,-0.976593802
-0.955875411,1.850988104,-1.863522913,0.333523103,-0.020912677,-0.144771569
1.086349753,0.540846754,-0.46292894,-0.545181016,-0.215599932,0.284235851
0.117239857,0.548369087,-0.538843852,-0.277313949,0.140494705,0.730762326
0.016127773,-0.359179547,0.370695832,0.15909869,-0.215599932,0.353991259
0.453637353,0.212037408,-0.16200771,-0.245272433,-0.215599932,0.442151135
0.282690194,0.600116103,-0.562530066,-0.066700911,-0.215599932,0.537520889
-0.503709017,0.483071805,-0.405565785,-0.545181016,-0.215599932,0.287182594
-0.952685098,0.879069504,-0.959440752,-0.33554592,0.899131103,0.994944709
-0.152461995,-0.465341159,0.536087324,-0.545181016,-0.215599932,-0.110837155
-0.030285075,-0.052194967,0.053739862,0.30185809,-0.215599932,0.596249679
0.175023448,1.383866562,-1.33714429,-0.326780689,-0.070432432,0.140217337
0.160070977,0.403735406,-0.326794859,-0.545181016,-0.215599932,0.286231435
-0.461670987,-1.784017992,1.84536523,-0.545181016,-0.215599932,-2.410708516
0.090053853,-0.081260528,0.154744245,-0.545181016,-0.215599932,0.15379291
2.194576749,0.572505495,-0.763222621,1.033114872,0.833470237,1.582192395
0.073982361,-0.365932055,0.248958418,0.560952404,0.519630758,1.046058846
-0.594757378,-0.081260528,0.154744245,-0.545181016,-0.215599932,0.15379291
-0.723389397,-0.224342926,0.250980181,-0.007147593,-0.215599932,0.373446154
-0.707046554,-2.232112062,2.29026549,-0.545181016,-0.215599932,-4.315518473
0.384274853,1.266111984,-1.219844142,-0.401087008,-0.024045576,0.235919804
0.459678079,1.574593631,-1.514255419,-0.39873033,-0.118256304,-0.124001737
0.329643934,-0.081260528,0.072608813,0.419140427,-0.215599932,0.628927299
0.825154238,0.871259437,-0.821494038,-0.18700448,-0.215599932,0.409169823
-0.353422909,0.353046031,-0.789813229,-0.545181016,3.790464724,1.934800695
-0.340930663,-0.712488696,0.781473306,-0.545181016,-0.215599932,-0.361605938
-0.228063264,-1.54273657,1.468911165,1.06202139,-0.215599932,-1.00416724
-1.221071908,-0.497554373,0.568070937,-0.545181016,-0.215599932,-0.139810343
0.560547364,-0.431281179,0.451904041,0.046148171,-0.215599932,0.247433143
0.533855461,-0.344775451,0.34566833,0.285029498,-0.215599932,0.417457677
0.141098925,-0.209522317,0.184132152,0.604927127,-0.215599932,0.631360402
-0.768125811,0.97922877,-0.972336412,-0.545181016,0.363053852,0.562364902
-0.223109502,-0.439735784,0.510664452,-0.545181016,-0.215599932,-0.088578351
-1.208425787,0.89720062,-0.86050356,-0.031403198,-0.215599932,0.465784832
-0.119190409,-0.991236177,1.058234002,-0.545181016,-0.215599932,-0.728150466
-0.931823029,0.056027868,0.018434378,-0.545181016,-0.215599932,0.213580705
-0.078599282,-0.087476862,0.130056138,-0.182863711,-0.215599932,0.367141561
1.033720485,1.327126241,-1.281602784,-0.322117337,-0.06733277,0.194931365
-0.773360324,0.085615884,-0.056966913,-0.004828483,-0.215599932,0.520797343
-0.465600899,-0.038809511,0.04234839,0.279567587,-0.215599932,0.593210485
-0.068173864,-0.71548598,0.64755684,1.06202139,-0.215599932,0.369533577
