,Entire home/apt,Private room,Hotel room,Shared room
550,56,64,0,0
551,49,41,0,0
552,93,121,1,0
553,71,64,1,6
554,231,164,2,1
555,188,129,3,1
556,134,138,2,0
557,198,144,2,1
558,107,130,3,0
559,102,89,1,0
560,141,124,4,0
561,40,56,0,0
562,24,36,0,0
563,64,68,4,1
564,37,47,0,0
565,58,58,1,1
566,69,47,1,0
567,91,54,1,0
568,44,48,0,0
569,47,38,1,0
570,24,43,2,0
571,44,80,0,0
572,45,93,2,1
573,95,113,1,0
574,39,58,0,0
575,30,82,0,0
576,11,27,1,0
577,23,44,2,0
578,10,37,2,0
579,71,64,3,0
580,36,76,1,0
581,22,43,1,0
582,8,19,3,0
583,186,220,3,1
584,121,110,1,2
585,34,67,1,0
586,13,42,1,0
587,29,96,5,1
588,18,57,0,0
589,24,69,3,0
590,6,20,0,0
591,3,23,1,0
592,6,34,1,0
593,7,17,0,0
594,0,23,0,0
595,1,9,0,0
596,32,71,3,0
597,10,30,1,0
598,7,19,0,0
599,8,22,0,0
600,15,35,1,0
601,3,15,0,0
602,4,26,0,0
603,5,13,0,0
604,1,16,0,0
605,7,10,1,0
606,10,7,0,0
607,3,10,0,0
608,4,5,0,0
609,9,16,0,0
610,5,14,0,0
611,1,11,0,0
612,1,19,0,0
613,4,8,0,0
614,397,49,2,4
